Question Number,Question,Question Media,Answer,Answer Media,Question Media Type,Answer Media Type copy
1,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",Screen Recording 2022-01-19 at 5.40.11 AM.mov (https://dl.airtable.com/.attachments/73598b18d9b49e74497d3e8d49de324a/c7bdde30/ScreenRecording2022-01-19at5.40.11AM.mov),Answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),Video,Image
2,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,answer,,,
3,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),Answer,,Image,
4,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),,Image
5,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,Answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),,Image
6,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,answer,,,
7,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),Answer,,Image,
8,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),,Image
9,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.
",,answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),,Image
10,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),Answer,,Image,
11,"This is the first question. Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book. It has survived not only five centuries, but also the leap into electronic typesetting, remaining essentially unchanged. It was popularised in the 1960s with the release of Letraset sheets containing Lorem Ipsum passages.",,answer,Screenshot 2022-01-19 at 3.13.06 AM.png (https://dl.airtable.com/.attachments/818ef0d7721c297cf85db7c97c48b686/fdaa0199/Screenshot2022-01-19at3.13.06AM.png),,Image
